Spółka,Kwartały,Wartość księgowa,Cena/WK,Zysk na akcję,Cena/Zysk,Przychód,Cena/Przychód,Zysk operacyjny,Cena/Zysk operacyjny,Wartość księgowa Grahama,Cena/Wartość księgowa Grahama,Wartość przedsiębiorstwa,Wartość przedsiębiorstwa/Przychody,Wartość przedsiębiorstwa/EBIT,Wartość przedsiębiorstwa/EBITDA,ROE,ROA,Marża zysku operacyjnego,Marża zysku netto,Marża zysku ze sprzedaży,Marża zysku brutto,Marża zysku brutto ze sprzedaży,Rentowność operacyjna aktywów,Udział zysku netto w przepływach operacyjnych,Wskaźnik źródeł finansowania inwestycji,Zadłużenie ogólne,Zadłużenie kapitału własnego,Zadłużenie długoterminowe,Zadłużenie środków trwałych,Pokrycie aktywów trwałych kapitałami stałymi,Trwałość struktury finansowania,Zastosowanie kapitału obcego,Wskaźnik ogólnej sytuacji finansowej,Zadłużenie netto,Zadłużenie netto / EBITDA,Zadłużenie finansowe netto,Zadłużenie finansowe netto / EBITDA,I stopień pokrycia,II stopień pokrycia,Płynność gotówkowa,Płynność szybka,Płynność bieżąca,Płynność podwyższona,Pokrycie zobowiązań należnościami,Udział kapitału pracującego w aktywach,Pokrycie kosztów kapitałem obrotowym,Rotacja należności,Cykl należności,Cykl zobowiązań,Rotacja zapasów,Cykl zapasów,Rotacja majątku obrotowego,Rotacja majątku trwałego,Rotacja majątku ogółem,Cykl operacyjny,Cykl konwersji gotówki,Data
BPC,2025/Q1,"0,03","5,50","0,00","264,55","0,03","5,67","0,00","218,49","-0,01",,"0,18","5,66","218,32","218,32","2,08%","1,15%","2,59%","2,14%","2,83%","2,14%",,"1,40%","-149,55%",,"0,45","0,80","0,22",,"0,97","0,68","1,47","1,17",6 164 000,"30,67",-33 000,"-0,16","0,80","0,97","0,01","0,94","0,94","0,05","0,88","-0,02","-0,04","3,05",120,150,,,"2,76","0,77","0,60",,,2025-05-01
BPN,2025/Q1,"0,74","0,44","-0,15",,"1,82","0,18","-0,14",,"0,35","0,93","0,33","0,18","-2,96","-2,42","-20,63%","-10,97%","-7,56%","-8,35%","-4,48%","-8,54%","45,22%","-9,93%","332,55%","29,44%","0,42","0,79","0,01","57,17","1,78","0,54","0,63","1,01",4 685 000,"-3,46",122 000,"-0,09","1,61","1,63","0,33","0,91","1,62","0,33","0,65","0,26","0,37","4,90",75,87,"2,58",142,"2,11","4,03","1,39",217,130,2025-05-01
BRA,2024/Q1,"-0,17",,"-0,15",,"0,01","60,01","-0,11",,"-0,16",,"0,97","100,72","-19,82","-9,08","85,19%","-23,06%","-1 108,80%","-1 513,38%","-1 185,56%","-1 513,38%","93,66%","-16,90%","-261,12%",,"0,82","-3,02",,,,,"1,45","-0,90",15 207 000,"-10,54",11 562 000,"-8,01","-0,62","-0,62","0,00","-0,18","0,69","0,00","0,01","-0,25","2,81","0,68",539,20 264,"0,00",92 710,"0,03","0,03","0,01",93 249,72 985,2024-05-01
BRH,2023/Q4,"0,04","5,04","0,02","10,45","0,09","2,31","0,02","10,25","-0,66",,"-0,23","-2,54","-11,22","-11,27","48,23%","0,88%","22,53%","22,09%","25,87%","22,09%",,"0,90%","-259,55%",,"0,98","53,51","11,47","0,02","0,74","0,23","1,42","0,08",41 128 000,"86,95",-10 137 000,"-21,43","0,06","0,72","0,25","0,51","0,89","0,25","0,27","-0,08","-2,73","0,20",1 870,7 031,"0,10",3 577,"0,06","0,13","0,04",5 447,-1 584,2024-02-01
BRO,2025/Q1,"-0,09",,"-0,04",,"0,05","1,44","-0,03",,"-0,20",,"0,09","1,74","-3,40","-2,74","45,55%","-24,28%","-63,48%","-77,40%","-63,30%","-77,40%","-3,90%","-19,91%","145,07%","125,93%","1,50","-2,81","-0,12","10,52","-0,63","-0,47","4,76","-3,70",29 228 000,"-9,35",1 801 000,"-0,58","-0,78","-0,68","0,00","0,11","0,22","0,00","0,13","-1,12","-3,90","3,04",120,1 529,"2,40",152,"1,28","0,45","0,33",272,-1 257,2025-05-01
BRP,2025/Q1,"1,48","0,60","-0,55",,"0,44","2,04","-0,49",,"1,20","0,74","0,88","2,02","-5,67","-1,80","-37,27%","-17,12%","-112,24%","-126,05%","-178,69%","-115,30%",,"-15,25%","184,98%","-19,35%","0,21","0,46",,,,,"0,36","0,40",1 474 000,"-4,36",-15 000,"0,04","1,11","1,11","0,01","-1,30","2,75","0,01","0,10","0,37","1,36","6,95",53,589,"0,74",492,"0,25","0,30","0,14",545,-44,2025-05-01
BRS,2025/Q1,"6,56","0,57","0,46","8,20","21,27","0,18","0,78","4,82","-1,27",,"7,10","0,33","4,91","9,12","6,98%","2,95%","3,66%","2,15%","-0,37%","1,97%","7,38%","5,01%","69,52%","81,57%","0,57","1,34","0,36","2,74","1,11","0,57","1,17","0,96",1 869 071 000,"5,39",803 132 000,"2,31","0,82","1,11","0,15","0,72","1,17","0,16","0,53","0,07","0,06","6,73",54,106,"6,19",59,"2,86","2,65","1,38",113,7,2025-05-01
BSA,2025/Q1,"0,06","3,69","-0,00",,"0,08","2,72","0,02","10,53","-0,10",,"0,31","3,66","11,52","14,13","-2,49%","-0,78%","25,87%","-1,84%","4,63%","1,90%",,"10,90%","4,73%",,"0,63","2,01","1,51","1,64","0,94","0,78","6,36","2,19",10 385 000,"4,40",6 933 000,"2,94","0,35","0,87","0,15","0,23","0,63","0,24","0,26","-0,06","-0,15","4,05",90,228,"2 364,00",0,"2,06","0,38","0,32",,,2025-05-01
BSH,2025/Q1,"4,12","2,91","1,92","6,26","13,75","0,87","2,48","4,85","2,51","4,77","11,79","0,86","4,16","4,76","46,53%","40,91%","18,00%","13,94%","18,47%","17,19%",,"52,82%","288,05%","106,58%","0,12","0,14",,,,,"0,18","0,47",559 000,"0,12",-335 000,"-0,07","2,55","2,55","0,37","2,16","5,49","0,37","1,76","0,54","0,23","10,17",36,32,"7,45",49,"3,59","7,98","2,48",85,53,2025-05-01
BST,2025/Q1,"39,47","0,68","3,86","7,00","17,86","1,51","7,45","3,62","31,66","0,85","60,28","3,37","7,62","8,09","9,78%","4,56%","41,71%","21,60%","41,71%","21,74%",,"8,80%","-272,71%","39,56%","0,53","1,15","0,78","0,04","9,00","0,83","0,59","2,97",900 478 000,"5,03",753 910 000,"4,21","5,05","9,00","0,38","5,33","5,33","0,38","4,95","0,74","6,28","0,26",1 391,285,,,"0,25","2,29","0,22",,,2025-05-01
BTC,2024/Q1,"0,59","0,64","-0,01",,"0,01","43,87","-0,01",,"-0,02",,"0,38","43,68","-54,07","-54,07","-1,22%","-1,10%","-80,78%","-83,99%","-80,78%","-84,34%",,"-1,06%","414,04%","-10,52%","0,10","0,11",,,,,"1,45","1,40",1 729 000,"-7,62",-52 000,"0,23","0,97","0,97","0,15","0,69","0,69","0,19","0,29","-0,03","-1,30","0,38",955,2 845,,,"0,17","0,01","0,01",,,2024-05-01
BTK,2025/Q1,"0,16","0,92","0,00","81,51","0,78","0,19","0,02","6,40","0,09","1,63","0,14","0,19","4,11","6,25","1,12%","0,47%","2,96%","0,23%","2,62%","0,48%",,"6,01%","20,44%","88,24%","0,58","1,38","0,06","0,54","2,42","0,45","0,71","1,62",5 572 000,"6,25",-84 000,"-0,09","2,28","2,42","0,02","1,15","1,47","0,02","0,86","0,26","0,13","4,36",84,90,"13,52",27,"2,64","11,35","2,14",111,21,2025-05-01
CAI,2025/Q1,"2,13","1,95","-1,12",,"0,60","6,90","-0,66",,"0,54","7,73","4,36","7,25","-9,39","-6,62","-52,46%","-39,03%","-109,55%","-185,51%","-18,15%","-184,72%",,"-23,05%","271,49%",,"0,22","0,30","0,07",,"1,39","0,80","0,54","0,68",3 052 000,"-0,71",1 939 000,"-0,45","1,26","1,35","0,12","2,26","2,44","0,62","1,71","0,24","1,33","0,86",424,247,"55,20",7,"0,62","0,35","0,22",431,184,2025-05-01
CAR,2025/Q1,"369,57","1,42","51,01","10,31","1 392,14","0,38","76,64","6,86","206,45","2,55","736,78","0,53","8,02","9,61","13,80%","6,36%","5,51%","3,66%","5,73%","4,59%","29,57%","9,56%","158,42%","81,40%","0,54","1,17","0,38","0,88","3,13","0,64","0,68","1,53",5 600 403 000,"4,30",2 986 350 000,"2,29","2,27","3,13","0,13","0,88","2,20","0,13","0,75","0,43","0,36","6,65",55,69,"2,71",135,"2,30","9,50","1,85",190,121,2025-05-01
CAV,2025/Q1,"46,51","0,32","0,32","46,91","7,24","2,08","3,17","4,76","-53,80",,"94,29","13,02","27,51","29,74","0,69%","0,23%","43,78%","4,44%","23,35%","4,89%","50,33%","2,24%","252,20%","109,22%","0,67","2,04","1,53","0,04","1,17","0,83","2,30","1,07",2 337 683 000,"26,83",2 013 594 000,"23,11","0,46","1,17","0,03","0,28","1,72","0,13","0,08","0,12","5,17","4,92",74,1 152,"0,20",1 871,"0,30","0,06","0,05",1 945,793,2025-05-01
CBD,2025/Q1,"0,09","3,97","-0,07",,"0,01","46,55","-0,07",,"0,08","4,53","0,37","46,52","-5,41","-5,25","-72,24%","-57,24%","-885,20%","-846,40%","-870,40%","-917,20%",,"-59,86%","104,13%","-31,68%","0,20","0,25",,,,,"0,22","1,61",-2 246 000,"1,05",-9 000,"0,00","7,32","7,32","0,21","4,43","4,54","4,09","0,30","0,70","1,09","1,03",354,759,"26,23",14,"0,06","0,66","0,06",368,-391,2025-05-01
CCC,2024/Q4,"26,14","6,58","13,89","12,38","149,60","1,15","15,04","11,44","-34,99",,"221,77","1,48","9,34","14,75","53,16%","10,57%","10,05%","9,29%","9,69%","8,92%","50,31%","11,44%","72,94%","67,29%","0,79","3,95","1,70","1,05","1,12","0,54","1,51","0,63",6 653 800 000,"4,07",3 427 400 000,"2,10","0,41","1,12","0,11","0,28","1,16","0,11","0,16","0,07","0,14","17,55",21,168,"1,44",254,"2,23","2,57","1,19",275,107,2025-02-01
CCE,2025/Q1,"0,26","1,17","-0,01",,"0,07","4,37","-0,01",,"-0,23",,"0,34","4,87","-65,68","-65,68","-2,52%","-1,34%","-7,41%","-9,42%","-5,23%","-9,42%",,"-1,05%","-6,89%","100,04%","0,47","0,89","0,05","35,02","0,56","0,56","62,09","33,12",8 071 000,"-44,84",1 196 000,"-6,64","0,53","0,56","0,00","0,02","0,02","0,00","0,01","-0,43","-2,92","20,90",17,866,"9,30",39,"5,03","0,15","0,15",56,-810,2025-05-01
CCR,2025/Q1,"-3,01",,"-5,94",,"0,02","417,36","-0,11",,"-17,84",,"25,64","1 258,74","-5 034,94","-234,18","197,21%","-29,74%","-537,50%","-29 175,00%","-906,25%","-29 175,00%",,"-0,55%","29 175,00%",,"0,93","-6,15","-4,88","0,30","0,84","0,58","27,30","-4,26",14 546 000,"-3 636,50",13 462 000,"-3 365,50","-0,16","0,61","0,00","-0,99","0,18","0,00","0,17","-0,16","-31,28","0,03",11 013,72 475,,,"0,03","0,00","0,00",,,2025-05-01
CCS,2025/Q1,"0,42","2,14","-0,10",,"7,59","0,12","-0,08",,"0,17","5,18","0,76","0,10","-55,25","-9,71","-24,18%","-8,05%","-1,03%","-1,33%","-1,24%","-1,51%",,"-6,24%","-254,43%",,"0,62","1,85","0,08","3,43","1,66","0,36","0,82","1,11",10 202 000,"-46,58",-2 122 000,"9,69","1,36","1,46","0,18","0,81","1,28","0,18","0,69","0,16","0,03","13,07",28,42,"23,02",16,"6,80","23,47","5,27",44,2,2025-05-01
CDA,2025/Q1,"3,98","5,75","2,60","8,81","10,35","2,21","3,23","7,10","3,52","6,51","20,27","1,96","6,17","6,28","65,29%","51,30%","31,19%","25,11%","31,19%","32,13%",,"63,71%","122,93%","-20,78%","0,10","0,13",,,,,"0,13","0,48",-22 340 000,"-0,66",-27 137 000,"-0,80","3,83","3,83","5,25","6,21","7,95","5,28","0,82","0,69","0,50","27,26",13,23,"25,99",14,"3,34","10,26","2,52",27,4,2025-05-01
CDL,2025/Q1,"15,02","0,84","1,90","6,65","43,94","0,29","-0,43",,"4,14","3,04","18,05","0,41","11,91","-42,16","12,62%","6,26%","-0,97%","4,31%","-0,41%","4,73%",,"-1,41%","21,28%","109,90%","0,50","1,02","0,07","6,36","1,48","0,53","0,79","1,09",80 534 000,"8,84",32 795 000,"3,60","1,38","1,48","0,03","0,30","1,37","0,13","0,16","0,17","0,12","17,11",21,116,"2,89",126,"2,24","4,02","1,44",147,31,2025-05-01
CDR,2025/Q1,"28,95","7,32","4,56","46,42","9,85","21,49","3,80","55,72","11,64","18,20","209,85","21,29","43,11","55,20","15,76%","14,61%","38,58%","46,30%","37,60%","45,32%","76,48%","12,18%","92,76%","75,88%","0,07","0,08","0,01","12,74","1,69","0,93","0,16","0,27",-948 242 000,"-1,95",-195 326 000,"-0,40","1,67","1,69","1,06","6,80","6,80","5,75","0,92","0,38","9,48","5,15",71,67,"102,59",4,"0,75","0,62","0,34",75,8,2025-05-01
CEZ,2025/Q1,"79,46","2,33","9,16","20,21","109,32","1,69","28,49","6,50","-123,29",,"257,19","2,35","5,76","9,03","11,53%","3,27%","26,06%","8,38%","25,83%","23,04%",,"10,16%","24,90%","80,88%","0,70","2,48","1,78","1,26","1,07","0,79","2,66","1,03",88 504 345 800,"3,68",38 786 326 800,"1,61","0,39","1,07","0,35","1,06","1,33","0,59","0,34","0,06","0,28","5,56",66,195,"6,64",55,"1,53","0,56","0,41",121,-74,2025-05-01
CFG,2025/Q1,"1,52","1,42","-0,37",,"0,46","4,69","-0,54",,"1,38","1,56","2,07","4,49","-3,95","-3,86","-24,04%","-23,57%","-116,45%","-79,32%","-56,27%","-76,06%",,"-34,60%","209,46%","344,25%","0,02","0,02",,,,,"0,02","0,20",-232 000,"0,17",-247 000,"0,18","10,83","10,83","3,63","7,96","55,28","4,41","3,44","0,89","1,96","4,68",78,21,"0,54",677,"0,27","9,56","0,26",755,734,2025-05-01
CFI,2025/Q1,"0,32","0,53","0,01","27,93","0,09","1,80","0,02","8,38","-0,09",,"0,25","2,70","10,45","12,56","1,90%","1,03%","21,49%","6,45%","23,40%","10,74%",,"3,42%","29,87%","428,17%","0,38","0,70","0,50","1,00","1,05","0,81","1,66","1,16",556 645 000,"8,30",233 169 000,"3,48","0,70","1,05","0,14","0,83","2,15","0,35","0,20","0,12","1,06","6,27",58,239,"0,87",421,"0,68","0,21","0,16",479,240,2025-05-01
CFS,2025/Q1,"6,61","0,80","0,79","6,68","2,16","2,46","1,16","4,57","0,41","13,03","5,96","2,77","5,14","5,15","11,99%","8,75%","53,78%","36,80%","34,79%","46,54%",,"12,79%","89,23%","57,69%","0,13","0,18","0,06","0,00","1,11","0,78","0,75","0,67",-3 268 000,"-0,28",6 717 000,"0,57","0,89","0,94","0,57","0,49","2,02","1,92","0,09","0,09","0,58","30,34",12,137,,,"1,63","0,29","0,25",,,2025-05-01
CHP,2025/Q1,"0,54","16,78","-9,73",,"1,10","8,24","-9,16",,"-0,88",,"9,77","8,89","-1,22","-1,07","-1 801,63%","-597,83%","-833,40%","-885,14%","-156,16%","-836,75%","-37,42%","-562,88%","-5 956,76%","131,25%","0,67","2,01",,,,,"5,15","1,96",1 298 000,"-0,12",963 000,"-0,09","0,38","0,38","0,12","0,19","0,19","0,12",,"-0,54","-2,61","12,91",28,325,,,"3,52","0,15","0,15",,,2025-05-01
CIG,2025/Q1,"0,81","2,07","-0,03",,"0,39","4,23","-0,02",,"-0,33",,"1,75","4,43","8,19","-72,39","-3,82%","-2,42%","-6,12%","-7,81%","-5,49%","-6,65%","27,60%","-1,90%","-7,84%","110,76%","0,36","0,56","0,33","0,03","0,93","0,84","3,81","2,66",78 948 000,"1,94",14 778 000,"0,36","0,70","0,93","0,20","0,63","0,64","0,20","0,43","-0,05","-1,39","3,27",112,187,"74,38",5,"2,19","0,38","0,32",117,-70,2025-05-01
CLA,2025/Q1,"1,71","4,99","0,51","16,63","3,42","2,50","0,54","15,80","2,05","4,18","8,12","2,38","14,02","15,01","30,02%","22,09%","15,83%","15,04%","16,03%","15,48%",,"23,25%","86,24%","-1,00%","0,09","0,12",,,,,"0,09","1,96",-228 000,"-0,39",-431 000,"-0,74","21,67","21,67","2,12","2,19","11,07","2,12","1,98","0,88","0,72","8,38",44,60,"1,96",186,"1,30","37,56","1,26",230,170,2025-05-01
CLC,2025/Q1,"-1,40",,"-0,61",,"4,84","1,67","0,17","46,85","-8,64",,"15,96","3,30","38,72","92,54","43,59%","-6,12%","3,56%","-12,59%","9,24%","-8,98%",,"1,73%","-50,61%","149,65%","1,14","-8,11","-0,44","9,68","-0,11","-0,08","4,20","-0,81",762 398 000,"26,89",541 918 000,"19,12","-0,19","-0,11","0,00","0,22","0,25","0,02","0,17","-0,81","-1,93","3,11",117,749,"8,07",45,"1,82","0,71","0,51",162,-587,2025-05-01
CLD,2025/Q1,"17,29","2,45","2,13","19,91","9,34","4,54","2,07","20,53","5,85","7,25","39,89","4,27","8,36","19,31","12,32%","11,06%","22,11%","22,80%","17,18%","21,60%",,"10,72%","52,21%","67,69%","0,10","0,11","0,04","2,54","1,57","0,93","0,25","0,38",-14 272 000,"-0,60",-12 563 000,"-0,53","1,51","1,57","2,55","5,75","5,75","3,55","1,96","0,34","1,29","3,62",101,70,,,"1,32","0,76","0,48",,,2025-05-01
CLE,2024/Q4,"-1,17",,"-0,19",,"0,22","4,98","-0,05",,"-1,19",,"1,10","4,98","-21,97","-21,97","16,40%","-183,82%","-22,67%","-86,62%","10,87%","-40,51%","31,95%","-48,11%","-2 966,67%",,"12,38","-1,10",,,,,"12,72","-5 345,08",55 895 616,"-24,80",16 128,"-0,01","-420,16","-420,16","0,04","0,08","0,08","0,04","0,04","-11,41","-7,90","1,77",206,2 124,"1 118,67",0,"1,42","224,18","1,41",,,2025-02-01
CLN,2025/Q1,"7,79","3,36","-0,81",,"4,01","6,53","-0,70",,"0,83","31,50","26,13","6,51","95,76","-37,34","-10,45%","-8,42%","-17,44%","-20,29%","-24,99%","-22,67%",,"-7,23%","254,63%","4 954,92%","0,20","0,24","0,07","10,34","1,20","0,86","0,69","0,78",49 144 000,"3,34",-3 573 000,"-0,24","1,12","1,20","0,32","1,61","2,03","0,73","0,82","0,14","0,34","3,89",94,123,"9,44",39,"1,22","0,56","0,38",133,10,2025-05-01
CMC,2025/Q1,"-0,29",,"-0,02",,"0,00",,"-0,02",,"-0,31",,"0,13",,"-8,56","-8,38","5,47%","-21,52%",,,,,,"-21,52%","19 500,00%",,"4,93","-1,25",,,,,"7,08","-91,81",4 470 000,"-23,40",,,"-12,96","-12,96",,"0,14","0,14",,"0,14","-4,24","-19,20",,,,,,,,,,,2025-05-01
CMI,2025/Q1,"5,73","2,29","-0,58",,"15,81","0,83","-0,02",,"-3,21",,"12,42","0,79","21,01","-597,53","-10,10%","-3,66%","-0,13%","-3,66%","-2,54%","-3,53%",,"-0,13%","-37,38%",,"0,61","1,69","0,55","2,81","1,00","0,56","1,50","0,92",10 673 000,"15,01",-821 000,"-1,15","0,61","0,95","0,11","0,33","1,00","0,12","0,25","-0,00","-0,00","10,89",34,147,"3,59",102,"2,37","1,62","0,96",136,-11,2025-05-01
CMP,2025/Q1,"98,66","1,88","9,18","20,14","203,32","0,91","16,70","11,08","-13,86",,"204,26","1,00","7,33","12,23","9,31%","5,17%","8,21%","4,52%","8,78%","6,67%","32,10%","9,39%","23,28%","57,45%","0,44","0,79","0,24","0,55","1,08","0,69","1,22","1,06",300 699 000,"2,39",87 006 000,"0,69","0,87","1,08","0,21","0,86","1,19","0,21","0,48","0,06","0,08","5,80",63,129,"7,69",47,"2,50","1,77","1,04",110,-19,2025-05-01
COG,2025/Q1,"6,35","1,27","-0,43",,"12,54","0,64","-0,28",,"-3,21",,"13,38","1,07","582,61","-47,21","-6,81%","-2,65%","-2,26%","-3,45%","-6,75%","-4,42%","1,90%","-1,74%","-41,99%","104,30%","0,58","1,50","0,38","4,04","0,87","0,54","1,51","0,96",1 506 932 000,"382,66",914 378 000,"232,19","0,64","0,87","0,01","0,45","0,89","0,10","0,35","-0,05","-0,07","5,47",67,166,"4,17",87,"1,85","1,39","0,79",154,-12,2025-05-01
COS,2025/Q1,"0,09","5,82","-0,15",,"0,06","8,94","-0,15",,"-0,02",,"0,53","8,93","-3,71","-3,56","-164,66%","-87,15%","-250,92%","-252,78%","-45,75%","-253,15%",,"-86,51%","491,86%","249,55%","0,46","0,87","0,21","0,57","1,00","0,64","1,34","1,08",11 767 000,"-0,55",-102 000,"0,00","0,81","0,98","0,01","0,42","0,99","0,01","0,43","-0,00","-0,01","4,25",86,250,"3,81",96,"1,43","0,35","0,28",182,-68,2025-05-01
CPA,2025/Q1,"0,05","3,23","-0,08",,"0,00",,"-0,08",,"0,05","3,23","0,17",,"-1,99","-1,99","-159,83%","-131,92%",,,,,,"-134,04%","88,31%","105,76%","0,17","0,21",,,,,"0,17",,-439 000,"0,58",-3 000,"0,00",,,"0,03","5,73","5,73","5,43",,"0,83","0,62",,,,,,,,,,,2025-05-01
CPD,2025/Q1,"-0,25",,"-0,22",,"0,00","836,84","-0,22",,"-0,25",,"2,97","887,58","-13,73","-13,73","85,90%","-457,75%","-6 466,67%","-6 500,00%","-6 486,67%","-6 506,67%","100,00%","-455,40%","127,79%",,"6,33","-1,19",,,,,"6,33",,1 229 000,"-1,27",761 000,"-0,78",,,"0,09","0,16","0,16","0,09","0,07","-5,33",,"0,21",1 722,20 063,,,"0,12",,"0,12",,,2025-05-01
CPL,2025/Q1,"4,19","1,19","-1,76",,"14,63","0,34","-1,98",,"0,28","17,91","5,55","0,38","-5,32","-2,81","-41,96%","-24,64%","-13,53%","-12,02%","-9,77%","-13,79%",,"-27,74%","189,23%","-100,14%","0,41","0,70","0,06","1,57","1,13","0,62","0,91","0,98",10 156 000,"-2,75",1 947 000,"-0,53","1,07","1,13","0,03","1,19","1,19","0,03","1,17","0,07","0,03","5,76",63,50,,,"4,41","3,84","2,05",,,2025-05-01
CPR,2025/Q1,"3,85","0,30","-1,46",,"1,57","0,74","-0,13",,"1,11","1,06","4,46","2,84","-60,06","-34,46","-37,89%","-13,53%","-8,23%","-92,74%","-47,49%","-40,50%","-33,71%","-1,20%","184,40%","172,60%","0,64","1,80","0,60","0,36","2,22","0,57","0,86","1,20",309 517 000,"-92,98",147 495 000,"-44,31","1,39","2,22","0,00","1,68","1,74","0,00","1,68","0,32","1,66","0,19",1 942,1 023,"6,24",59,"0,18","0,60","0,14",2 001,978,2025-05-01
CPS,2025/Q1,"25,32","0,60","0,96","15,76","22,50","0,67","2,70","5,60","-17,80",,"34,03","1,51","5,75","12,63","3,79%","1,68%","11,98%","4,26%","12,31%","6,47%",,"4,72%","18,52%","146,43%","0,53","1,20","0,89","0,57","1,08","0,84","2,42","1,38",16 894 900 000,"4,46",12 103 300 000,"3,20","0,57","1,08","0,46","1,20","1,64","0,51","0,69","0,09","0,29","4,55",80,136,"5,86",62,"1,67","0,51","0,39",142,6,2025-05-01
CRB,2025/Q1,"3,93","1,55","-1,18",,"1,88","3,25","-1,10",,"1,05","5,82","7,18","3,83","5,17","-6,55","-30,10%","-18,75%","-58,41%","-63,09%","-90,26%","-63,09%",,"-17,36%","-106,02%","97,28%","0,23","0,36","0,22","0,16","1,49","0,76","0,58","0,59",2 591 000,"0,96",2 105 000,"0,78","1,02","1,24","0,16","2,62","4,27","0,16","0,25","0,30","1,75","6,15",59,167,,,"0,72","0,42","0,27",,,2025-05-01
CRC,2025/Q1,"1,94","0,82","-0,46",,"0,00",,"-0,54",,"1,42","1,13","1,60",,"-3,01","-2,96","-23,60%","-21,70%",,,,,,"-25,62%","392,87%",,"0,03","0,04","0,02","1,24","3,31","0,93","0,05","0,15",-5 682 000,"2,54",11 000,"-0,00","3,10","3,15","0,61","31,79","34,01","32,55","1,45","0,68","-151,83",,,,,,,,,,,2025-05-01
CRI,2025/Q1,"61,02","3,47","-6,61",,"21,66","9,79","-8,20",,"12,56","16,87","176,68","8,16","-40,49","-21,54","-10,83%","-6,27%","-37,87%","-30,50%","-34,31%","-37,24%",,"-7,78%","1 206,37%","37,07%","0,42","0,73","0,39","0,66","1,74","0,80","0,78","0,98",-493 000,"0,05",-84 037 000,"8,09","1,26","1,74","2,14","2,54","2,73","2,14","0,41","0,34","1,43","4,15",88,212,"7,05",52,"0,61","0,52","0,28",140,-72,2025-05-01
CRJ,2025/Q1,"161,94","2,18","25,14","14,04","46,10","7,66","22,78","15,50","114,69","3,08","303,94","6,59","12,42","13,34","15,52%","14,80%","49,40%","54,52%","50,80%","61,06%",,"13,41%","85,37%","332,37%","0,04","0,04","0,01","4,41","3,41","0,96","0,06","0,20",-75 340 000,"-4,40",-34 312 000,"-2,00","3,38","3,40","8,01","19,21","19,32","18,22","1,03","0,68","5,51","6,21",59,48,"1 040,20",0,"0,40","1,10","0,29",,,2025-05-01
CRP,2023/Q2,"0,00","4 895,00","-0,02",,"0,00",,"-0,02",,"0,00","4 895,00","11,00",,"-695,94","-695,94","-703,47%","-29,31%",,,,,,"-29,31%",,,"0,96","23,00",,,,,"0,96",,92 000,"-3,27",3 000,"-0,11",,,,"1,04","1,04",,"1,04","0,04",,,,,,,,,,,,2023-08-01
CSR,2025/Q1,"2,81","2,30","0,22","29,39","4,27","1,51","0,26","25,09","1,00","6,42","6,37","1,49","11,71","24,77","7,82%","4,83%","6,03%","5,14%","5,74%","6,25%",,"5,65%","51,98%","43,30%","0,26","0,42",,,,,"0,54","0,64",-3 583 000,"-0,67",-824 000,"-0,15","1,19","1,19","0,60","1,85","1,85","1,31","0,55","0,22","0,27","7,39",49,101,,,"2,03","2,10","1,03",,,2025-05-01
CTF,2025/Q1,"0,07","8,34","-0,05",,"0,00",,"-0,00",,"0,06","9,35","0,59",,"-141,22","-139,68","-73,68%","-52,61%",,,,,,"-4,26%","356,36%",,"0,27","0,38","0,06","0,00","8,25","0,76","0,30","2,27",-3 755 000,"10,32",27 000,"-0,07","7,62","8,08","0,51","3,94","4,01","3,12","0,89","0,68","16,17",,,,,,,,,,,2025-05-01
CTS,2025/Q1,"4,01","1,33","0,97","5,51","15,09","0,35","1,21","4,42","-1,53",,"8,44","0,56","5,71","6,98","24,21%","7,44%","8,01%","6,44%","7,58%","7,10%","26,49%","9,26%","98,52%","97,79%","0,69","2,25","0,86","0,12","1,34","0,57","1,20","0,87",247 753 822,"5,30",97 823 766,"2,09","0,72","1,34","0,18","1,33","1,35","0,21","1,12","0,15","0,18","2,81",130,122,"112,76",3,"2,37","2,83","1,29",133,11,2025-05-01
CTX,2025/Q1,"9,85","3,96","-7,22",,"2,53","15,39","-7,27",,"8,36","4,66","36,83","14,53","-5,82","-5,06","-73,33%","-53,59%","-286,95%","-285,11%","-325,40%","-285,11%","67,10%","-53,94%","-2 764,97%","-1 267,92%","0,27","0,37","0,05","2,69","6,93","0,76","0,30","2,00",-41 473 000,"1,19",-11 936 000,"0,34","6,62","6,93","0,95","3,78","3,78","3,52","0,23","0,65","-82,97","0,95",383,538,,,"0,21","1,49","0,18",,,2025-05-01
CZT,2025/Q1,"1,33","0,35","-0,15",,"0,15","3,07","-0,20",,"0,56","0,83","0,12","0,82","-0,64","-0,63","-11,49%","-4,68%","-129,84%","-101,08%","-168,01%","-167,20%","7,45%","-6,01%","59,10%",,"0,60","1,46","0,42","0,18","2,48","0,58","0,78","1,36",119 329 000,"-8,26",-25 530 000,"1,77","1,75","2,48","0,26","0,38","1,80","0,26","0,12","0,34","8,19","1,18",308,2 554,"0,09",3 963,"0,07","0,17","0,05",4 271,1 717,2025-05-01
