Spółka,Rok,Data publikacji,Aktywa trwałe,Wartości niematerialne i prawne,Wartość firmy,Rzeczowe składniki majątku trwałego,Aktywa z tytułu prawa do użytkowania,Należności długoterminowe,Inwestycje długoterminowe,Pozostałe aktywa trwałe,Aktywa obrotowe,Zapasy,Należności krótkoterminowe,Inwestycje krótkoterminowe,Środki pieniężne i inne aktywa pieniężne,Pozostałe aktywa obrotowe,Aktywa trwałe przeznaczone do sprzedaży,Aktywa razem,Kapitał własny akcjonariuszy jednostki dominującej,Kapitał (fundusz) podstawowy,Udziały (akcje) własne,Kapitał (fundusz) zapasowy,Udziały niekontrolujące,Zobowiązania długoterminowe,Z tytułu dostaw i usług,Kredyty i pożyczki,Z tytułu emisji dłużnych papierów wartościowych,Zobowiązania z tytułu leasingu finansowego,Inne zobowiązania długoterminowe,Zobowiązania krótkoterminowe,Inne zobowiązania krótkoterminowe,Rozliczenia międzyokresowe,Pasywa razem
LPP,2024,,9872000.0,546000.0,183000.0,8835000.0,4100000.0,148000.0,7000.0,336000.0,7629000.0,4669000.0,950000.0,1795000.0,846000.0,215000.0,0.0,17501000.0,5299000.0,3700.0,0.0,2980000.0,3000.0,3746000.0,5676000.0,817000.0,0.0,1248000.0,41000.0,8453000.0,712000.0,0.0,17501000.0
LPP,2025/Q1,,10471000.0,566000.0,183000.0,9431000.0,4306000.0,127000.0,9000.0,338000.0,8369000.0,4786000.0,963000.0,2367000.0,651000.0,253000.0,0.0,18840000.0,5645000.0,3700.0,0.0,2980000.0,1000.0,3868000.0,5562000.0,1872000.0,0.0,1325000.0,36000.0,9326000.0,567000.0,0.0,18840000.0
XTB,2013,,29353.0,12929.0,,4692.0,,0.0,0.0,11732.0,527628.0,0.0,6988.0,518375.0,168245.0,2265.0,0.0,556981.0,256542.0,5869.0,0.0,71608.0,0.0,0.0,246057.0,0.0,0.0,11479.0,0.0,300439.0,42903.0,0.0,556981.0
XTB,2014,,35196.0,17908.0,,4489.0,,0.0,0.0,12799.0,623121.0,0.0,3960.0,617205.0,287388.0,1956.0,0.0,658317.0,335711.0,5869.0,0.0,71608.0,0.0,0.0,268032.0,0.0,0.0,14692.0,0.0,322606.0,39882.0,0.0,658317.0
XTB,2015,,29685.0,13340.0,0.0,4107.0,,0.0,0.0,12238.0,697434.0,0.0,6988.0,687933.0,325328.0,2513.0,0.0,727119.0,374049.0,5869.0,0.0,71608.0,0.0,0.0,301076.0,0.0,0.0,10215.0,0.0,353070.0,41779.0,0.0,727119.0
XTB,2016,,25429.0,10060.0,0.0,3746.0,,0.0,0.0,11623.0,771324.0,0.0,6260.0,761474.0,290739.0,3590.0,,796753.0,355893.0,5869.0,0.0,71608.0,0.0,0.0,377268.0,0.0,0.0,22645.0,0.0,440860.0,40947.0,0.0,796753.0
XTB,2017,,16446.0,2915.0,0.0,3034.0,,0.0,0.0,10497.0,881258.0,0.0,4384.0,873658.0,367096.0,3216.0,0.0,897704.0,400342.0,5869.0,0.0,71608.0,0.0,0.0,421400.0,0.0,0.0,40905.0,0.0,497362.0,35057.0,0.0,897704.0
XTB,2018,,12878.0,716.0,0.0,2617.0,,0.0,0.0,9545.0,957196.0,0.0,3068.0,946174.0,467987.0,7954.0,0.0,970074.0,455156.0,5869.0,0.0,71608.0,0.0,0.0,447841.0,0.0,0.0,28227.0,0.0,514918.0,38850.0,0.0,970074.0
XTB,2019,,23768.0,572.0,0.0,14193.0,,0.0,0.0,9003.0,1115132.0,0.0,71.0,1110988.0,955196.0,4073.0,0.0,1138900.0,490744.0,5869.0,0.0,71608.0,0.0,0.0,573792.0,0.0,0.0,10772.0,0.0,648156.0,63592.0,0.0,1138900.0
XTB,2020,,23286.0,639.0,0.0,13260.0,,0.0,0.0,9387.0,2260240.0,0.0,2593.0,1218648.0,542205.0,1038999.0,0.0,2283526.0,888305.0,5869.0,0.0,71608.0,0.0,0.0,1203243.0,0.0,0.0,8654.0,0.0,1395221.0,183324.0,0.0,2283526.0
XTB,2021,,25484.0,585.0,0.0,16206.0,,0.0,0.0,8693.0,3122259.0,0.0,7247.0,3106375.0,589392.0,8637.0,0.0,3147743.0,915560.0,5869.0,0.0,71608.0,0.0,0.0,2010490.0,0.0,0.0,7437.0,0.0,2232183.0,214256.0,0.0,3147743.0
XTB,2022,,54613.0,1441.0,0.0,45303.0,,0.0,0.0,7869.0,4059710.0,0.0,0.0,4045186.0,1222499.0,14524.0,0.0,4114323.0,1506069.0,5869.0,0.0,71608.0,0.0,0.0,2327728.0,0.0,0.0,30450.0,0.0,2608254.0,250076.0,0.0,4114323.0
XTB,2023,,61625.0,1167.0,0.0,50386.0,,0.0,0.0,10072.0,4627033.0,0.0,129.0,4611418.0,1409897.0,15486.0,0.0,4688658.0,1734663.0,5878.0,0.0,71608.0,0.0,0.0,2638122.0,0.0,0.0,29603.0,0.0,2953995.0,286270.0,0.0,4688658.0
XTB,2024,,76182.0,2009.0,0.0,65334.0,,0.0,0.0,8839.0,6569450.0,0.0,0.0,6549764.0,1619512.0,19686.0,0.0,6645632.0,2003521.0,5878.0,0.0,71608.0,120.0,0.0,4164895.0,0.0,0.0,33935.0,0.0,4641991.0,443161.0,0.0,6645632.0
XTB,2025/Q1,,76004.0,1882.0,0.0,63012.0,,0.0,0.0,11110.0,7387813.0,0.0,0.0,7362171.0,1769698.0,25642.0,0.0,7463817.0,2193883.0,5878.0,0.0,71608.0,232.0,0.0,4755121.0,0.0,0.0,30965.0,0.0,5269702.0,483616.0,0.0,7463817.0
