ticker,name,adress,industry
IPO,INTERSPPL,https://www.biznesradar.pl/notowania/INTERSPPL,Odzież i kosmetyki
ITB,INTERBUD,https://www.biznesradar.pl/notowania/INTERBUD-LUBLIN,Nieruchomości
IZB,IZOBLOK,https://www.biznesradar.pl/notowania/IZOBLOK,Guma i tworzywa sztuczne
IZO,IZOLACJA,https://www.biznesradar.pl/notowania/IZOLACJA-JAROCIN,Budownictwo
IZS,IZOSTAL,https://www.biznesradar.pl/notowania/IZOSTAL,Przemysł elektromaszynowy
JRH,JRH,https://www.biznesradar.pl/notowania/JRH,Działalność inwestycyjna
JSW,JSW,https://www.biznesradar.pl/notowania/JSW-JASTRZEBSKA-SPOLKA-WEGLOWA,Górnictwo
JWW,JWWINVEST,https://www.biznesradar.pl/notowania/JWW-INVEST,Przemysł elektromaszynowy
KCH,KRAKCHEM,https://www.biznesradar.pl/notowania/KRAKCHEMIA,Zaopatrzenie przedsiębiorstw
KCI,KCI,https://www.biznesradar.pl/notowania/KCI,Media
KER,KERNEL,https://www.biznesradar.pl/notowania/KERNEL,Artykuły spożywcze
KGH,KGHM,https://www.biznesradar.pl/notowania/KGHM,Górnictwo
KGL,KGL,https://www.biznesradar.pl/notowania/KGL,Zaopatrzenie przedsiębiorstw
KGN,KOGENERA,https://www.biznesradar.pl/notowania/KOGENERACJA,Energia
KOM,KOMPUTRON,https://www.biznesradar.pl/notowania/KOMPUTRONIK,Sieci handlowe
KPD,KPPD,https://www.biznesradar.pl/notowania/KPD,Drewno i papier
KPL,KINOPOL,https://www.biznesradar.pl/notowania/KINO-POLSKA-TV,Media
KRK,KRKA,https://www.biznesradar.pl/notowania/KRKA,Produkcja leków
KRU,KRUK,https://www.biznesradar.pl/notowania/KRUK,Wierzytelności
KSG,KSGAGRO,https://www.biznesradar.pl/notowania/KSG-AGRO,Artykuły spożywcze
KTY,KETY,https://www.biznesradar.pl/notowania/KETY,Hutnictwo
KVT,KRVITAMIN,https://www.biznesradar.pl/notowania/KVT,Artykuły spożywcze
LBT,LIBET,https://www.biznesradar.pl/notowania/LIBET,Budownictwo
LBW,LUBAWA,https://www.biznesradar.pl/notowania/LUBAWA,Odzież i kosmetyki
LEN,LENA,https://www.biznesradar.pl/notowania/LENA-LIGHTING,Przemysł elektromaszynowy
LES,LESS,https://www.biznesradar.pl/notowania/LES,Handel internetowy
LKD,LOKUM,https://www.biznesradar.pl/notowania/LKD,Nieruchomości
LPP,LPP,https://www.biznesradar.pl/notowania/LPP,Odzież i kosmetyki
LRQ,LARQ,https://www.biznesradar.pl/notowania/LRQ,Media
LSI,LSISOFT,https://www.biznesradar.pl/notowania/LSI-SOFTWARE,Informatyka
LTX,LENTEX,https://www.biznesradar.pl/notowania/LENTEX,Zaopatrzenie przedsiębiorstw
LWB,BOGDANKA,https://www.biznesradar.pl/notowania/BOGDANKA,Górnictwo
MAB,MABION,https://www.biznesradar.pl/notowania/MABION,Produkcja leków
MAK,MAKARONPL,https://www.biznesradar.pl/notowania/MAKARONY-POLSKIE,Artykuły spożywcze
MBK,MBANK,https://www.biznesradar.pl/notowania/MBANK,Banki
MBR,MOBRUK,https://www.biznesradar.pl/notowania/MBR,Recykling
MCI,MCI,https://www.biznesradar.pl/notowania/MCI,Działalność inwestycyjna
MCR,MERCOR,https://www.biznesradar.pl/notowania/MERCOR,Budownictwo
MDG,MEDICALG,https://www.biznesradar.pl/notowania/MDG,Sprzęt i materiały medyczne
MDI,MDIENERGIA,https://www.biznesradar.pl/notowania/MDI,Budownictwo
MEG,MEGARON,https://www.biznesradar.pl/notowania/MEGARON,Budownictwo
MEX,MEXPOLSKA,https://www.biznesradar.pl/notowania/MEX-POLSKA,Rekreacja i wypoczynek
MFO,MFO,https://www.biznesradar.pl/notowania/MFO,Budownictwo
MGT,MANGATA,https://www.biznesradar.pl/notowania/MGT,Przemysł elektromaszynowy
MIL,MILLENNIUM,https://www.biznesradar.pl/notowania/BANK-MILLENNIUM,Banki
MIR,MIRACULUM,https://www.biznesradar.pl/notowania/MIRACULUM,Odzież i kosmetyki
MLG,MLPGROUP,https://www.biznesradar.pl/notowania/MLP-GROUP,Nieruchomości
MLK,MILKILAND,https://www.biznesradar.pl/notowania/MLK,Artykuły spożywcze
MLS,MLSYSTEM,https://www.biznesradar.pl/notowania/MLS,Energia
MNC,MENNICA,https://www.biznesradar.pl/notowania/MENNICA-POLSKA,Hutnictwo
MOC,MOLECURE,https://www.biznesradar.pl/notowania/MOC,Biotechnologia
MOL,MOL,https://www.biznesradar.pl/notowania/MOL-MAGYAR-OLAJ,Paliwa i gaz
MON,MONNARI,https://www.biznesradar.pl/notowania/MONNARI-TRADE,Odzież i kosmetyki
MOV,MOVIEGAMES,https://www.biznesradar.pl/notowania/MOV,Gry
MRB,MIRBUD,https://www.biznesradar.pl/notowania/MIRBUD,Budownictwo
MRC,MERCATOR,https://www.biznesradar.pl/notowania/MERCATOR,Sprzęt i materiały medyczne
MSP,MOSTALPLC,https://www.biznesradar.pl/notowania/MOSTOSTAL-PLOCK,Budownictwo
MSW,MOSTALWAR,https://www.biznesradar.pl/notowania/MOSTOSTAL-WARSZAWA,Budownictwo
MSZ,MOSTALZAB,https://www.biznesradar.pl/notowania/MOSTOSTAL-ZABRZE,Budownictwo
MUR,MURAPOL,https://www.biznesradar.pl/notowania/MUR,Nieruchomości
MVP,MARVIPOL,https://www.biznesradar.pl/notowania/MVP,Nieruchomości
MWT,MWTRADE,https://www.biznesradar.pl/notowania/MW-TRADE,Leasing i faktoring
MXC,MAXCOM,https://www.biznesradar.pl/notowania/MXC,Wyposażenie domu
NCL,NOCTILUCA,https://www.biznesradar.pl/notowania/NCL,Nowe technologie
NEU,NEUCA,https://www.biznesradar.pl/notowania/NEUCA,Dystrybucja leków
NNG,NANOGROUP,https://www.biznesradar.pl/notowania/NNG,Biotechnologia
NTC,NTCAPITAL,https://www.biznesradar.pl/notowania/NTC,Działalność inwestycyjna
NTT,NTTSYSTEM,https://www.biznesradar.pl/notowania/NTT,Informatyka
NVA,PANOVA,https://www.biznesradar.pl/notowania/PANOVA,Budownictwo
NVG,NOVAVISGR,https://www.biznesradar.pl/notowania/NVG,Energia
NVT,NOVITA,https://www.biznesradar.pl/notowania/NOVITA,Zaopatrzenie przedsiębiorstw
NWG,NEWAG,https://www.biznesradar.pl/notowania/NEWAG,Przemysł elektromaszynowy
ODL,ODLEWNIE,https://www.biznesradar.pl/notowania/ODLEWNIE-POLSKIE,Hutnictwo
OND,ONDE,https://www.biznesradar.pl/notowania/OND,Energia
ONO,ONESANO,https://www.biznesradar.pl/notowania/ONO,Biotechnologia
OPG,ORCOGROUP,https://www.biznesradar.pl/notowania/OPG,Nieruchomości
OPL,ORANGEPL,https://www.biznesradar.pl/notowania/ORANGE,Telekomunikacja
OPN,OPONEO.PL,https://www.biznesradar.pl/notowania/OPONEO-PL,Handel internetowy
OTM,OTMUCHOW,https://www.biznesradar.pl/notowania/OTMUCHOW,Artykuły spożywcze
OTS,OTLOG,https://www.biznesradar.pl/notowania/OT-LOGISTICS,Transport i logistyka
PAS,PASSUS,https://www.biznesradar.pl/notowania/PAS,Informatyka
PAT,PATENTUS,https://www.biznesradar.pl/notowania/PATENTUS,Przemysł elektromaszynowy
PBX,PEKABEX,https://www.biznesradar.pl/notowania/PEKABEX,Budownictwo
PCE,POLICE,https://www.biznesradar.pl/notowania/POLICE,Chemia
PCF,PCFGROUP,https://www.biznesradar.pl/notowania/PCF,Gry
PCO,PEPCO,https://www.biznesradar.pl/notowania/PCO,Sieci handlowe
PCR,PCCROKITA,https://www.biznesradar.pl/notowania/ROKITA,Chemia
PCX,PCCEXOL,https://www.biznesradar.pl/notowania/PCC-EXOL,Chemia
PEN,PHOTON,https://www.biznesradar.pl/notowania/PHOTON,Energia
PEO,PEKAO,https://www.biznesradar.pl/notowania/PEKAO,Banki
PEP,PEP,https://www.biznesradar.pl/notowania/POLENERGIA,Energia
PGE,PGE,https://www.biznesradar.pl/notowania/PGE,Energia
PGM,PMPG,https://www.biznesradar.pl/notowania/PGM,Media
PHN,PHN,https://www.biznesradar.pl/notowania/POLSKI-HOLDING-NIERUCHOMOSCI,Nieruchomości
PHR,PHARMENA,https://www.biznesradar.pl/notowania/PHARMENA,Produkcja leków
PJP,PJPMAKRUM,https://www.biznesradar.pl/notowania/PROJPRZEM,Budownictwo
PKN,PKNORLEN,https://www.biznesradar.pl/notowania/ORLEN,Paliwa i gaz
PKO,PKOBP,https://www.biznesradar.pl/notowania/PKO,Banki
PKP,PKPCARGO,https://www.biznesradar.pl/notowania/PKPCARGO,Transport i logistyka
PLW,PLAYWAY,https://www.biznesradar.pl/notowania/PLAYWAY,Gry
PLZ,PLAZACNTR,https://www.biznesradar.pl/notowania/PLAZACNTR,Nieruchomości
PMP,PAMAPOL,https://www.biznesradar.pl/notowania/PAMAPOL,Artykuły spożywcze
PPS,PEPEES,https://www.biznesradar.pl/notowania/PEPEES,Artykuły spożywcze
PRI,PRAGMAINK,https://www.biznesradar.pl/notowania/PRI,Wierzytelności
PRM,PROCHEM,https://www.biznesradar.pl/notowania/PROCHEM,Budownictwo
PTG,POLTREG,https://www.biznesradar.pl/notowania/PTG,Biotechnologia
PTW,PTWP,https://www.biznesradar.pl/notowania/PTWP,Media
PUR,PURE,https://www.biznesradar.pl/notowania/PUR,Biotechnologia
PWX,POLWAX,https://www.biznesradar.pl/notowania/POLWAX,Chemia
PXM,POLIMEXMS,https://www.biznesradar.pl/notowania/POLIMEX,Budownictwo
PZU,PZU,https://www.biznesradar.pl/notowania/PZU,Ubezpieczenia
QNA,QNATECHNO,https://www.biznesradar.pl/notowania/QNA,Nowe technologie
QNT,QUANTUM,https://www.biznesradar.pl/notowania/QUANTUM-SOFTWARE,Informatyka
QRS,QUERCUS,https://www.biznesradar.pl/notowania/QUERCUS,Rynek kapitałowy
RAE,RAEN,https://www.biznesradar.pl/notowania/RAE,Energia
RAF,RAFAMET,https://www.biznesradar.pl/notowania/RAFAMET,Przemysł elektromaszynowy
RBW,RAINBOW,https://www.biznesradar.pl/notowania/RAINBOW-TOURS,Rekreacja i wypoczynek
RFK,RAFAKO,https://www.biznesradar.pl/notowania/RAFAKO,Budownictwo
RLP,RELPOL,https://www.biznesradar.pl/notowania/RELPOL,Przemysł elektromaszynowy
RMK,REMAK,https://www.biznesradar.pl/notowania/REMAK,Budownictwo
RNC,REINO,https://www.biznesradar.pl/notowania/RNC,Działalność inwestycyjna
RND,RENDER,https://www.biznesradar.pl/notowania/RND,Gry
RNK,RANKPROGR,https://www.biznesradar.pl/notowania/RANK-PROGRESS,Nieruchomości
RPC,ROPCZYCE,https://www.biznesradar.pl/notowania/ROPCZYCE,Budownictwo
RVU,RYVU,https://www.biznesradar.pl/notowania/RVU,Biotechnologia
RWL,RAWLPLUG,https://www.biznesradar.pl/notowania/RAWLPLUG,Przemysł elektromaszynowy
