Spółka,Rok,Data publikacji,Aktywa trwałe,Wartości niematerialne i prawne,Wartość firmy,Rzeczowe składniki majątku trwałego,Aktywa z tytułu prawa do użytkowania,Należności długoterminowe,Inwestycje długoterminowe,Pozostałe aktywa trwałe,Aktywa obrotowe,Zapasy,Należności krótkoterminowe,Inwestycje krótkoterminowe,Środki pieniężne i inne aktywa pieniężne,Pozostałe aktywa obrotowe,Aktywa trwałe przeznaczone do sprzedaży,Aktywa razem,Kapitał własny akcjonariuszy jednostki dominującej,Kapitał (fundusz) podstawowy,Udziały (akcje) własne,Kapitał (fundusz) zapasowy,Udziały niekontrolujące,Zobowiązania długoterminowe,Z tytułu dostaw i usług,Kredyty i pożyczki,Z tytułu emisji dłużnych papierów wartościowych,Zobowiązania z tytułu leasingu finansowego,Inne zobowiązania długoterminowe,Zobowiązania krótkoterminowe,Inne zobowiązania krótkoterminowe,Rozliczenia międzyokresowe,Pasywa razem,Gotówka i operacje z bankami centralnymi,Należności od banków,Aktywa finansowe przeznaczone do obrotu,Pochodne instrumenty zabezpieczające,Należności od klientów,Inwestycyjne aktywa finansowe,Inwestycje w podmioty stowarzyszone,Wartości niematerialne,Rzeczowy majątek trwały,Aktywa z tytułu odroczonego podatku dochodowego netto,Pozostałe aktywa,Zobowiązania wobec banku centralnego,Zobowiązania wobec banków,Zobowiązania finansowe przeznaczone do obrotu,Zobowiązania wobec klientów,Zobowiązania z tytułu emisji dłużnych pap. wart.,Zobowiązania podporządkowane,Zobowiązania z tytułu bieżącego podatku dochodowego,Pozostałe pasywa,Zobowiązania razem,Kapitały własne,Kapitał akcyjny,Pozostałe kapitały,Kapitał z aktualizacji wyceny,Zyski zatrzymane,Wynik roku bieżącego,Kapitały razem
11-BIT-STUDIOS,2021,,90680.0,59138.0,0.0,30227.0,4281.0,0.0,258.0,1057.0,128833.0,0.0,20623.0,107458.0,26749.0,752.0,0.0,219513.0,197337.0,237.0,0.0,120468.0,0.0,8951.0,8013.0,1260.0,0.0,15.0,636.0,13225.0,3937.0,0.0,219513.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-BIT-STUDIOS,2022,,142547.0,99977.0,0.0,29120.0,4225.0,0.0,12767.0,683.0,101650.0,0.0,12453.0,87411.0,30586.0,1786.0,0.0,244197.0,224544.0,238.0,0.0,149153.0,0.0,9457.0,2894.0,1260.0,0.0,15.0,2301.0,10196.0,6027.0,0.0,244197.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-BIT-STUDIOS,2023,,191393.0,155368.0,0.0,28372.0,4169.0,0.0,5530.0,2123.0,66935.0,2.0,11546.0,54448.0,37556.0,939.0,0.0,258328.0,227065.0,242.0,0.0,190276.0,0.0,6559.0,2918.0,1260.0,0.0,15.0,665.0,24704.0,20511.0,0.0,258328.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-BIT-STUDIOS,2024,,169651.0,128779.0,0.0,26516.0,4113.0,0.0,5799.0,8557.0,92652.0,54.0,21081.0,70522.0,65452.0,995.0,0.0,262303.0,229919.0,242.0,0.0,196304.0,0.0,4553.0,4651.0,1260.0,0.0,15.0,106.0,27831.0,21905.0,0.0,262303.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-BIT-STUDIOS,2025/Q1,,175009.0,134184.0,0.0,26004.0,4098.0,0.0,6193.0,8628.0,80345.0,52.0,9314.0,69613.0,69495.0,1366.0,0.0,255354.0,223579.0,242.0,0.0,196304.0,0.0,4238.0,4291.0,1260.0,0.0,15.0,27.0,27537.0,21971.0,0.0,255354.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3RG,2008,,1030.0,702.0,,100.0,,0.0,200.0,28.0,292.0,0.0,199.0,91.0,91.0,2.0,0.0,1322.0,924.0,79.0,0.0,900.0,0.0,0.0,204.0,0.0,0.0,0.0,0.0,398.0,194.0,0.0,1322.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3RG,2009,,2555.0,2217.0,,323.0,,0.0,0.0,15.0,546.0,0.0,234.0,85.0,85.0,227.0,0.0,3101.0,2530.0,576.0,0.0,1108.0,13.0,138.0,167.0,0.0,0.0,56.0,13.0,419.0,196.0,1.0,3101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3RG,2010,,3846.0,3356.0,,471.0,,0.0,0.0,19.0,1094.0,0.0,485.0,588.0,588.0,21.0,0.0,4940.0,4062.0,576.0,0.0,2056.0,7.0,208.0,260.0,0.0,0.0,103.0,11.0,663.0,300.0,0.0,4940.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3RG,2011,,6064.0,5139.0,0.0,479.0,,0.0,422.0,24.0,1841.0,0.0,626.0,170.0,170.0,1045.0,0.0,7905.0,6568.0,586.0,0.0,3506.0,18.0,130.0,654.0,0.0,0.0,129.0,11.0,1189.0,406.0,0.0,7905.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3RG,2012,,2713.0,1117.0,0.0,1085.0,,0.0,450.0,61.0,17307.0,0.0,851.0,16395.0,16395.0,61.0,0.0,20020.0,17212.0,756.0,0.0,23762.0,26.0,341.0,785.0,0.0,0.0,182.0,63.0,2441.0,1474.0,0.0,20020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
