Spółka,Rok,Data publikacji,Przepływy pieniężne z działalności operacyjnej,Amortyzacja,Przepływy pieniężne z działalności inwestycyjnej,CAPEX (niematerialne i rzeczowe),Przepływy pieniężne z działalności finansowej,Emisja akcji,Dywidenda,Skup akcji,Płatności z tytułu umów leasingu,Przepływy pieniężne razem,Free Cash Flow,Przepływy operacyjne razem
4MS,2021,,2020.0,981.0,-13074.0,12966.0,12312.0,11170.0,0.0,0.0,0.0,1258.0,-10946.0,
4MS,2022,,7040.0,1469.0,-4726.0,4726.0,-3731.0,0.0,0.0,0.0,1146.0,-1417.0,1168.0,
4MS,2023,,14205.0,2031.0,-10279.0,8589.0,2075.0,0.0,0.0,0.0,1687.0,6001.0,3929.0,
4MS,2024,,7406.0,3515.0,-3172.0,3225.0,-3404.0,0.0,0.0,1893.0,1424.0,830.0,2757.0,
4MS,O4K,,9816.0,3792.0,-3167.0,3225.0,-5451.0,0.0,0.0,1893.0,1407.0,1198.0,5184.0,
AAT,2004,,5001.0,365.0,-6096.0,165.0,1017.0,0.0,0.0,,,-78.0,4836.0,
AAT,2005,,674.0,4154.0,19119.0,5093.0,-20020.0,0.0,0.0,,,-227.0,-4419.0,
AAT,2006,,-8023.0,776.0,11365.0,1375.0,-2939.0,0.0,1654.0,0.0,,403.0,-9398.0,
AAT,2007,,-13297.0,769.0,-133892.0,118703.0,181979.0,107157.0,1942.0,0.0,,34790.0,-132000.0,
AAT,2008,,-42073.0,1971.0,35928.0,68974.0,-23550.0,784.0,3042.0,0.0,,-29695.0,-111047.0,
AAT,2009,,1360.0,1707.0,-2561.0,1315.0,-6775.0,771.0,761.0,0.0,,-7976.0,45.0,
AAT,2010,,1575.0,920.0,3825.0,1504.0,-4725.0,25.0,761.0,0.0,,675.0,71.0,
AAT,2011,,3331.0,660.0,8956.0,1142.0,-13510.0,150.0,761.0,0.0,,-1223.0,2189.0,
AAT,2012,,5404.0,279.0,4613.0,1848.0,-8658.0,0.0,0.0,0.0,,1359.0,3556.0,
AAT,2013,,-6816.0,335.0,18671.0,197.0,-12057.0,0.0,0.0,0.0,,-202.0,-7013.0,
AAT,2014,,-508.0,58.0,598.0,3.0,-100.0,0.0,0.0,0.0,,-10.0,-511.0,
AAT,2015,,658.0,38.0,-644.0,56.0,0.0,0.0,0.0,0.0,,14.0,602.0,
AAT,2016,,-2312.0,11.0,1843.0,0.0,488.0,0.0,0.0,0.0,,19.0,-2312.0,
AAT,2017,,-724.0,12.0,731.0,50.0,0.0,0.0,0.0,0.0,,7.0,-774.0,
AAT,2018,,-1690.0,28.0,1851.0,191.0,-14.0,0.0,0.0,0.0,0.0,147.0,-1881.0,
AAT,2019,,-1441.0,168.0,1727.0,14.0,-142.0,0.0,0.0,0.0,136.0,144.0,-1591.0,
AAT,2020,,-1978.0,170.0,5840.0,126.0,-4104.0,0.0,0.0,0.0,135.0,-242.0,-2239.0,
AAT,2021,,2348.0,103.0,-1010.0,41.0,238.0,0.0,6708.0,0.0,67.0,1576.0,2240.0,
AAT,2022,,-1585.0,32.0,83.0,24.0,-55.0,0.0,0.0,0.0,0.0,-1557.0,-1609.0,
AAT,2023,,-1971.0,24.0,2021.0,28.0,100.0,0.0,0.0,0.0,0.0,150.0,-1999.0,
AAT,2024,,-1995.0,24.0,1892.0,10.0,41.0,41.0,0.0,0.0,0.0,-62.0,-2005.0,
AAT,O4K,,-2579.0,23.0,1360.0,10.0,1260.0,260.0,0.0,0.0,0.0,41.0,-2589.0,
ABE,2005,,15345.0,952.0,-11874.0,11878.0,16189.0,0.0,0.0,,,19660.0,3467.0,
ABE,2006,,-49961.0,1365.0,-9059.0,8527.0,49367.0,59720.0,0.0,,,-9653.0,-58488.0,
ABE,2007,,-4517.0,4124.0,-118282.0,18047.0,122399.0,105045.0,0.0,,,-400.0,-22564.0,
ABE,2008,,148929.0,6473.0,-24828.0,25086.0,-130519.0,0.0,0.0,487.0,,-6418.0,123843.0,
ABE,2009,,2497.0,7997.0,-7195.0,7034.0,7467.0,345.0,0.0,351.0,,2769.0,-4537.0,
ABE,2010,,-6233.0,8798.0,-16280.0,17219.0,20340.0,0.0,4844.0,0.0,,-2173.0,-23452.0,
ABE,2011,,-1524.0,10104.0,-10665.0,8996.0,12212.0,0.0,0.0,0.0,,23.0,-10520.0,
ABE,2012,,923.0,10004.0,-4922.0,4037.0,18.0,0.0,0.0,0.0,,-3981.0,-3114.0,
ABE,2013,,72330.0,10660.0,-15224.0,15773.0,-23560.0,0.0,0.0,0.0,,33546.0,56557.0,
ABE,2014,,61003.0,8278.0,-95149.0,94976.0,83236.0,0.0,0.0,0.0,,49090.0,-33973.0,
