Nazwa,Ticker,Kwartały,Kurs,Wartość księgowa na akcję,Cena/WK,Zysk na akcję,Cena/Zysk,Przychody ze sprzedaży na akcję,Cena/Przychód,Zysk operacyjny,Cena/Zysk operacyjny na akcję,Wartość księgowa Grahama na akcję,Cena/Wartość księgowa Grahama,Wartość przedsiębiorstwa na akcję,Wartość przedsiębiorstwa/Przychody,Wartość przedsiębiorstwa/EBITDA,Wartość przedsiębiorstwa/EBIT
3RGAMES,3RG,2017/Q2,"1,26","0,75","1,69","0,00","1 056,65","1,19","1,06","0,01","205,72","0,01","130,60","1,34","1,13","19,15","219,32"
3RGAMES,3RG,2017/Q3,"0,80","0,66","1,21","-0,06",,"1,10","0,73","-0,05",,"-0,06",,"0,96","0,87","35,17","-17,50"
3RGAMES,3RG,2017/Q4,"0,43","0,30","1,45","-0,67",,"0,99","0,43","-0,52",,"-0,17",,"0,53","0,53","-1,26","-1,01"
3RGAMES,3RG,2018/Q1,"0,45","0,31","1,47","-0,63",,"0,70","0,64","-0,49",,"-0,04",,"0,53","0,76","-1,27","-1,07"
3RGAMES,3RG,2018/Q2,"0,64","0,12","5,27","-0,77",,"0,60","1,07","-0,64",,"-0,08",,"0,72","1,20","-1,25","-1,13"
3RGAMES,3RG,2018/Q3,"0,52","0,06","8,78","-0,72",,"0,52","1,00","-0,63",,"-0,14",,"0,64","1,23","-1,11","-1,02"
3RGAMES,3RG,2018/Q4,"0,41","0,06","7,15","-0,37",,"0,33","1,25","-0,37",,"-0,05",,"0,41","1,25","-1,14","-1,10"
3RGAMES,3RG,2019/Q1,"0,38","0,00","118,06","-0,31",,"0,26","1,48","-0,31",,"-0,08",,"0,44","1,72","-1,49","-1,45"
3RGAMES,3RG,2019/Q2,"0,36","-0,06",,"-0,23",,"0,25","1,41","-0,20",,"-0,13",,"0,44","1,74","-2,33","-2,21"
3RGAMES,3RG,2019/Q3,"0,40","-0,11",,"-0,26",,"0,25","1,61","-0,21",,"-0,17",,"0,54","2,18","-2,72","-2,62"
3RGAMES,3RG,2019/Q4,"0,40","-0,14",,"-0,19",,"0,30","1,32","-0,18",,"-0,21",,"0,71","2,36","-4,29","-3,86"
3RGAMES,3RG,2020/Q1,"0,40","-0,06",,"-0,19",,"0,38","1,04","-0,17",,"-0,13",,"0,60","1,56","-3,92","-3,44"
3RGAMES,3RG,2020/Q2,"0,51","-0,08",,"-0,13",,"0,14","3,57","-0,10",,"-0,09",,"0,68","4,83","-8,06","-6,84"
3RGAMES,3RG,2020/Q3,"1,07","0,04","28,46","-0,15",,"0,10","11,06","-0,07",,"0,04","30,21","1,07","11,08","-17,42","-15,48"
3RGAMES,3RG,2020/Q4,"1,11","0,20","5,51","-0,07",,"0,00","596,63","-0,02",,"-0,01",,"1,12","602,76","-80,56","-68,99"
3RGAMES,3RG,2021/Q1,"0,98","0,20","4,96","-0,06",,"-0,05",,"-0,01",,"-0,02",,"1,00",,"-163,76","-155,80"
3RGAMES,3RG,2021/Q2,"0,85","0,19","4,39","-0,05",,"0,01","84,47","-0,01",,"-0,02",,"0,88","87,17","-54,05","-60,37"
3RGAMES,3RG,2021/Q3,"0,83","0,19","4,30","-0,01",,"0,01","61,53","-0,01",,"-0,02",,"0,86","63,80","-62,29","-59,99"
3RGAMES,3RG,2021/Q4,"0,70","0,19","3,70","-0,01",,"0,02","45,10","-0,01",,"-0,02",,"0,74","47,63","-57,13","-55,50"
3RGAMES,3RG,2022/Q1,"0,50","0,18","2,75","-0,01",,"0,01","35,00","-0,01",,"-0,03",,"0,55","38,25","-48,95","-47,96"
3RGAMES,3RG,2022/Q2,"0,47","0,20","2,40","-0,01",,"0,01","32,92","-0,01",,"-0,01",,"0,51","35,24","-47,68","-47,31"
3RGAMES,3RG,2022/Q3,"0,47","0,20","2,31","0,00","706,46","0,03","16,85","0,00","174,87","-0,00",,"0,47","17,04","177,69","176,81"
3RGAMES,3RG,2022/Q4,"0,44","0,21","2,09","0,01","41,07","0,04","11,19","0,01","35,81","0,00","177,30","0,44","11,19","35,80","35,80"
3RGAMES,3RG,2023/Q1,"0,49","0,22","2,24","0,02","20,79","0,05","8,96","0,02","19,92","0,01","38,45","0,48","8,81","19,59","19,59"
3RGAMES,3RG,2023/Q2,"0,47","0,23","2,08","0,02","30,17","0,07","6,92","0,02","29,41","0,02","24,08","0,46","6,78","28,79","28,79"
3RGAMES,3RG,2023/Q3,"0,44","0,23","1,90","0,01","50,73","0,07","6,64","0,01","51,28","0,03","17,23","0,43","6,50","50,21","50,21"
3RGAMES,3RG,2023/Q4,"0,40","0,24","1,68","0,01","49,23","0,07","6,04","0,01","50,30","0,03","12,80","0,39","5,85","48,72","48,72"
3RGAMES,3RG,2024/Q1,"0,26","0,24","1,09","-0,00",,"0,06","4,57","-0,00",,"0,04","7,24","0,25","4,28","-176,42","-176,42"
3RGAMES,3RG,2024/Q2,"0,34","0,24","1,40","0,01","25,73","0,05","6,32","0,01","26,22","0,04","8,47","0,32","5,97","24,76","24,76"
3RGAMES,3RG,2024/Q3,"0,30","0,24","1,25","0,01","41,52","0,05","6,50","0,01","42,81","0,04","7,57","0,28","6,10","40,20","40,20"
3RGAMES,3RG,2024/Q4,"0,36","0,23","1,60","-0,01",,"0,04","9,98","-0,01",,"0,03","11,89","0,35","9,64","-42,55","-42,55"
3RGAMES,3RG,2025/Q1,"0,63","0,23","2,77","-0,01",,"0,04","16,97","-0,01",,"0,03","20,66","0,62","16,76","-66,92","-66,92"
4MASS,4MS,2016/Q4,"0,00","0,48",,"-1,10",,"4,56",,"-1,10",,"0,45",,,,,
4MASS,4MS,2017/Q4,"0,00","10,08",,"1,54",,"18,04",,"2,01",,"9,75",,,,,
4MASS,4MS,2018/Q3,"0,00","1,43",,"0,30",,"3,22",,"0,34",,"1,37",,,,,
4MASS,4MS,2018/Q4,"0,00","1,31",,"0,17",,"4,09",,"0,24",,"1,07",,,,,
4MASS,4MS,2019/Q1,"2,22","1,52","1,46","0,22","10,24","4,24","0,52","0,32","7,01","1,26","1,76","2,20","0,52","6,63","6,97"
4MASS,4MS,2019/Q2,"1,56","1,24","1,26","-0,00",,"4,34","0,36","0,08","19,11","1,00","1,55","1,55","0,36","15,73","19,08"
4MASS,4MS,2019/Q3,"1,16","1,04","1,12","-0,15",,"2,14","0,54","-0,11",,"0,88","1,32","1,11","0,52","-10,72","-10,02"
4MASS,4MS,2019/Q4,"1,34","1,27","1,06","-0,15",,"1,93","0,70","-0,13",,"0,67","2,00","1,77","0,92","-20,24","-13,89"
4MASS,4MS,2020/Q1,"1,10","1,12","0,98","-0,11",,"1,85","0,59","-0,10",,"0,60","1,83","1,23","0,67","-21,34","-12,29"
4MASS,4MS,2020/Q2,"1,75","1,11","1,57","0,02","114,30","2,02","0,87","0,04","41,59","0,65","2,68","1,85","0,91","19,89","43,91"
4MASS,4MS,2020/Q3,"8,00","1,14","7,04","0,10","79,44","2,46","3,25","0,14","58,01","0,50","16,02","8,30","3,38","39,11","60,18"
4MASS,4MS,2020/Q4,"2,65","1,12","2,37","0,11","25,13","2,41","1,10","0,14","19,12","0,55","4,78","2,72","1,13","13,93","19,64"
4MASS,4MS,2021/Q1,"4,49","1,08","4,14","0,06","71,95","1,30","3,44","0,08","53,10","0,74","6,08","4,06","3,11","34,40","47,98"
4MASS,4MS,2021/Q2,"3,09","1,11","2,79","0,06","49,20","1,49","2,07","0,09","34,57","0,61","5,04","2,92","1,96","23,13","32,71"
4MASS,4MS,2021/Q3,"2,48","1,14","2,17","0,09","28,35","1,57","1,58","0,12","20,78","0,63","3,93","2,36","1,50","15,28","19,76"
4MASS,4MS,2021/Q4,"2,48","1,12","2,20","0,09","27,51","1,65","1,50","0,13","19,58","0,31","7,89","2,65","1,60","15,54","20,94"
