Nazwa,Ticker,Wartość księgowa na akcję,Cena/WK,Zysk na akcję,Cena/Zysk,Przychody ze sprzedaży na akcję,Cena/Przychód,Zysk operacyjny,Cena/Zysk operacyjny,Wartość księgowa Grahama na akcję,Cena/Wartość księgowa Grahama,Wartość przedsiębiorstwa na akcję,Wartość przedsiębiorstwa/Przychody,Wartość przedsiębiorstwa/EBITDA,Wartość przedsiębiorstwa/EBIT,ROE,ROA,Marża zysku operacyjnego,Marża zysku netto,Marża zysku ze sprzedaży,Marża zysku brutto,Marża zysku brutto ze sprzedaży,Rentowność operacyjna aktywów,Zadłużenie ogólne,Zadłużenie kapitału własnego,Zadłużenie długoterminowe,Zadłużenie środków trwałych,Pokrycie aktywów trwałych kapitałami stałymi,Trwałość struktury finansowania,Zastosowanie kapitału obcego,Wskaźnik ogólnej sytuacji finansowej,Zadłużenie netto,Zadłużenie netto / EBITDA,Zadłużenie finansowe netto,Zadłużenie finansowe netto / EBITDA
LIBET,LIBET,2.37,0.68,0.32,5.05,2.32,0.7,0.25,6.38,0.79,2.05,1.55,0.67,3.74,6.12,13.52,11.37,10.95,13.83,-13.93,15.15,-19.01,9.01,0.12,0.14,0.02,36.08,1.49,0.86,0.3,0.43,12498000,0.66,-2962000.0,-0.16
LOKUM,LKD,31.5,0.69,2.55,8.48,6.26,3.45,3.35,6.44,28.45,0.76,24.71,3.95,7.17,7.37,8.09,5.2,53.56,40.71,9.93,54.33,37.15,6.84,0.36,0.56,0.39,0.05,14.99,0.89,0.38,4.13,160244000,2.58,55941000.0,0.9
LPP,LPP,3041.67,5.06,972.58,15.83,11230.19,1.37,1329.82,11.58,-2599.83,,18836.63,1.68,8.23,14.16,31.98,9.58,11.84,8.66,12.17,11.07,53.5,13.1,0.7,2.34,0.69,2.44,0.91,0.5,1.58,0.85,10827000000,2.55,6378000000.0,1.5
LARQ,LRQ,3.96,0.49,-0.4,,0.03,61.84,-0.1,,-0.93,,2.86,91.27,-31.06,-28.08,-10.22,-8.18,-325.06,-1289.6,-302.36,-492.43,100.0,-2.06,0.2,0.25,0.13,0.01,0.92,0.91,16.16,13.1,13012000,-10.47,12449000.0,-10.02
LSISOFT,LSI-SOFTWARE,18.3,0.91,2.32,7.14,22.39,0.74,2.76,6.02,4.49,3.7,15.82,0.71,3.32,5.74,12.7,10.3,12.31,10.38,10.16,11.63,32.84,12.22,0.19,0.23,0.09,3.03,1.44,0.88,0.49,0.65,5724000,0.37,-2540000.0,-0.16
LUBAWA,LUBAWA,3.16,3.04,0.65,14.79,3.44,2.79,0.74,12.96,1.46,6.59,9.34,2.71,11.12,12.6,20.56,13.55,21.53,18.86,22.54,22.7,39.34,15.46,0.34,0.52,0.06,6.4,1.97,0.7,0.53,0.98,72197000,0.57,-39787000.0,-0.32
MABION,MABION,5.96,1.68,-2.42,,2.34,4.29,-2.15,,-0.97,,8.74,3.74,-5.5,-4.06,-40.63,-27.27,-92.18,-103.63,-78.26,-91.22,23.63,-24.26,0.33,0.49,0.09,12.47,0.94,0.73,1.5,1.29,23479000,-0.91,-20705000.0,0.81
MAKARONPL,MAKARONY-POLSKIE,16.32,1.19,2.88,6.73,26.97,0.72,3.49,5.56,4.27,4.54,16.38,0.61,3.36,4.7,17.66,12.29,12.94,10.69,12.03,13.1,26.9,14.88,0.3,0.44,0.15,4.56,1.56,0.8,0.63,0.85,29001000,0.54,-33304000.0,-0.62
MBANK,MBANK,436.47,1.86,63.21,12.83,420.06,1.93,85.0,9.54,,,,,,,14.48,1.09,20.24,15.05,,,,1.47,0.92,12.27,,,,,,,135409004000,32.23,,
MOBRUK,MBR,73.34,4.16,19.81,15.4,82.17,3.71,27.02,11.29,-29.08,,321.32,3.91,9.48,11.89,27.01,14.55,32.88,24.11,32.21,30.17,41.91,19.85,0.46,0.85,0.64,1.96,1.17,0.89,1.88,1.34,166915000,1.4,57342000.0,0.48
MCI,MCI,40.27,0.63,0.28,90.99,0.91,27.71,0.63,40.15,-5.41,,30.6,33.64,47.74,48.75,0.69,0.59,69.02,30.45,45.82,23.68,99.62,1.35,0.14,0.16,0.15,0.01,1.01,0.99,6.8,5.99,302853000,9.01,283165000.0,8.42
MEDICALG,MDG,7.3,3.56,-1.64,,2.39,10.89,-1.61,,-1.25,,26.57,11.13,-21.54,-16.53,-22.41,-15.51,-67.37,-68.51,-73.02,-67.14,,-15.25,0.31,0.44,0.29,0.13,1.1,0.89,1.62,1.39,26706000,-2.17,5704000.0,-0.46
MDIENERGIA,MDI,0.29,4.59,-0.06,,4.65,0.29,-0.07,,0.07,20.42,1.23,0.26,-20.35,-16.87,-21.9,-3.27,-1.57,-1.38,-1.01,-1.63,1.34,-3.71,0.85,5.7,0.36,0.08,1.75,0.2,0.96,1.24,71691000,-25.72,-5294000.0,1.9
MEGARON,MEGARON,7.8,0.75,0.39,14.93,16.91,0.35,0.58,10.05,1.59,3.68,5.78,0.34,3.68,9.93,5.02,3.16,3.44,2.32,2.8,2.92,49.16,4.7,0.26,0.41,0.01,114.81,1.22,0.63,0.67,0.69,8473000,2.0,-188000.0,-0.04
MENNICA,MENNICA-POLSKA,14.2,1.69,1.94,12.39,28.65,0.84,2.2,10.93,6.0,4.0,26.59,0.93,10.13,12.11,13.64,6.54,7.66,6.76,6.74,9.16,11.21,7.42,0.46,0.96,0.03,4.98,1.46,0.5,0.69,0.98,567471000,4.23,132075000.0,0.98
MERCATOR,MERCATOR,94.25,0.48,7.13,6.31,57.23,0.79,4.09,11.01,53.39,0.84,32.58,0.57,4.97,7.97,7.56,6.85,7.14,12.45,-2.94,8.51,,3.92,0.1,0.11,0.01,23.64,2.36,0.92,0.16,0.37,-167382000,-2.61,-121356000.0,-1.9
MERCOR,MERCOR,13.77,2.17,1.3,22.94,33.58,0.89,1.74,17.16,7.35,4.07,34.66,1.03,11.75,19.89,9.47,5.06,5.19,3.88,5.67,5.02,24.33,6.76,0.46,0.86,0.39,0.64,2.9,0.74,0.62,1.29,167359000,3.64,74128000.0,1.61
MEXPOLSKA,MEX-POLSKA,1.9,1.93,0.1,35.38,14.4,0.25,0.49,7.41,-6.98,,9.66,0.67,4.94,19.56,5.46,0.97,3.43,0.72,2.44,1.19,12.49,4.62,0.81,4.56,2.89,1.34,0.82,0.69,5.22,1.09,59706000,3.98,46005000.0,3.07
MFO,MFO,47.17,0.67,1.14,27.58,95.0,0.33,2.01,15.68,4.27,7.38,36.96,0.39,11.0,18.39,2.42,1.32,2.12,1.2,1.56,1.35,10.75,2.32,0.46,0.84,0.26,2.96,1.39,0.69,0.9,0.99,199483000,8.99,36046000.0,1.62
MANGATA,MGT,81.68,0.84,3.41,20.07,112.75,0.61,5.27,12.98,4.03,16.98,93.82,0.83,7.78,17.81,4.17,2.46,4.67,3.02,4.63,3.3,19.47,3.8,0.4,0.68,0.26,3.11,1.3,0.74,0.93,0.96,331103000,4.11,169741000.0,2.11
MIRACULUM,MIRACULUM,0.62,1.28,-0.07,,1.05,0.75,-0.03,,-0.18,,1.07,1.02,-162.07,-34.22,-10.56,-5.27,-2.99,-6.24,-3.01,-5.23,30.87,-2.53,0.5,1.0,0.47,0.19,1.14,0.73,1.4,1.09,29459000,-93.82,13461000.0,-42.87
MIRBUD,MIRBUD,10.08,1.31,0.94,14.07,28.18,0.47,1.39,9.46,2.42,5.45,15.01,0.53,9.3,10.77,9.29,4.32,4.94,3.32,8.26,4.18,,6.42,0.54,1.15,0.51,0.46,1.98,0.7,0.83,1.09,1156957000,6.51,201066000.0,1.13
MILKILAND,MLK,-5.23,,-0.48,,-2.06,,-0.94,,-13.68,,11.32,,-11.65,-12.05,9.09,-2.66,45.52,23.02,-13.82,9.75,5.28,-5.26,1.29,-4.4,-0.28,3.35,-0.44,-0.21,2.47,-1.51,714004563,-23.51,325000001.0,-10.7
MLPGROUP,MLP-GROUP,112.28,0.77,13.05,6.65,16.06,5.4,19.46,4.46,-122.35,,190.44,11.86,9.74,9.79,11.63,5.08,121.14,81.28,49.13,99.25,61.5,7.58,0.56,1.29,1.22,0.01,1.06,0.97,6.51,3.11,3036338000,6.47,2486731000.0,5.3
MLSYSTEM,MLS,17.34,0.86,-8.67,,19.03,0.78,-7.12,,-38.09,,32.23,1.69,-8.98,-4.52,-50.01,-13.2,-37.42,-45.56,-34.01,-44.84,1.39,-10.84,0.74,2.79,1.66,1.77,0.83,0.7,4.71,1.47,353277000,-13.34,128177000.0,-4.84
MOLECURE,MOC,4.86,1.89,-1.47,,0.14,67.59,-1.51,,1.6,5.74,7.5,55.21,-5.67,-4.95,-30.17,-27.58,-1114.83,-1079.96,-1109.51,-1079.96,,-28.47,0.09,0.09,0.05,1.68,1.57,0.96,0.22,0.33,-31421000,1.18,-33965000.0,1.27
MOL,MOL-MAGYAR-OLAJ,54.72,0.56,4.99,6.1,120.73,0.25,8.07,3.78,-13.39,,43.15,0.36,2.89,5.35,9.13,4.7,6.69,4.14,12.17,6.63,,7.6,0.43,0.84,0.41,2.59,1.05,0.72,1.41,1.05,33414440800,2.73,10385408800.0,0.85
MONNARI,MONNARI-TRADE,9.97,0.5,0.71,6.99,10.5,0.47,0.6,8.22,4.54,1.09,4.06,0.39,4.63,6.76,7.09,5.86,5.73,6.73,6.68,7.73,61.43,4.98,0.17,0.21,0.07,2.69,1.96,0.88,0.32,0.58,4737000,0.18,-26785000.0,-1.0
MOSTALPLC,MOSTOSTAL-PLOCK,9.41,1.63,-1.08,,67.48,0.23,-0.03,,-5.16,,16.42,0.24,13.72,-513.08,-11.44,-2.24,-0.05,-1.59,-2.46,-1.56,2.82,-0.07,0.71,3.61,0.15,6.44,0.8,0.22,1.18,0.58,67353000,28.13,2137000.0,0.89
MOSTALWAR,MOSTOSTAL-WARSZAWA,3.56,2.0,-1.14,,80.3,0.09,-0.4,,-9.67,,13.93,0.17,3.66,-34.77,-31.86,-2.23,-0.5,-1.41,-0.81,-1.57,3.76,-0.79,0.92,13.18,1.84,1.54,0.74,0.2,1.26,0.33,878084000,11.53,136158000.0,1.79
MOSTALZAB,MOSTOSTAL-ZABRZE,4.35,1.26,0.8,6.91,13.75,0.4,1.04,5.3,-0.17,,4.81,0.35,3.68,4.63,18.28,6.53,7.54,5.79,3.96,7.42,13.28,8.51,0.57,1.61,0.26,2.53,1.03,0.45,1.02,0.83,407417000,4.21,-51269000.0,-0.53
MOVIEGAMES,MOV,8.9,1.8,-0.24,,6.56,2.44,0.75,21.4,1.34,11.96,14.69,2.24,4.51,19.64,-2.7,-2.01,11.41,-3.67,23.17,-14.64,,6.24,0.19,0.26,0.17,0.02,1.24,0.87,0.63,0.67,1756000,0.21,-3383000.0,-0.4
MURAPOL,MUR,16.48,2.09,6.12,5.63,32.68,1.05,7.46,4.61,14.29,2.41,46.58,1.43,6.13,6.25,37.1,11.46,22.82,18.71,22.7,23.35,30.99,13.97,0.69,2.24,0.9,0.03,14.33,0.59,0.72,5.43,1217415000,3.93,497105000.0,1.6
MARVIPOL,MVP,16.46,0.4,0.6,11.04,11.29,0.58,1.25,5.28,9.23,0.71,12.16,1.08,8.06,9.77,3.62,1.59,11.03,5.28,8.14,7.11,19.16,3.33,0.56,1.27,0.61,0.3,3.68,0.71,0.69,1.58,649823000,10.34,232355000.0,3.7
MWTRADE,MW-TRADE,9.03,0.39,-1.1,,0.26,13.28,-1.42,,4.56,0.76,-1.44,-5.49,1.16,1.02,-12.18,-11.07,-540.06,-419.73,-540.06,-495.37,,-14.24,0.09,0.1,0.01,57.71,2.03,0.92,0.16,0.33,-10892000,3.43,-12554000.0,3.96
MAXCOM,MXC,19.66,0.41,-1.33,,40.2,0.2,-0.76,,15.61,0.51,13.22,0.33,-28.11,-17.35,-6.75,-4.52,-1.9,-3.3,-1.22,-3.9,,-2.6,0.34,0.51,0.01,8.26,5.3,0.68,0.39,2.05,24579000,-19.35,14150000.0,-11.14
