Nazwa,Ticker,Wartość księgowa na akcję,Cena/WK,Zysk na akcję,Cena/Zysk,Przychody ze sprzedaży na akcję,Cena/Przychód,Zysk operacyjny,Cena/Zysk operacyjny,Wartość księgowa Grahama na akcję,Cena/Wartość księgowa Grahama,Wartość przedsiębiorstwa na akcję,Wartość przedsiębiorstwa/Przychody,Wartość przedsiębiorstwa/EBITDA,Wartość przedsiębiorstwa/EBIT,ROE,ROA,Marża zysku operacyjnego,Marża zysku netto,Marża zysku ze sprzedaży,Marża zysku brutto,Marża zysku brutto ze sprzedaży,Rentowność operacyjna aktywów,Zadłużenie ogólne,Zadłużenie kapitału własnego,Zadłużenie długoterminowe,Zadłużenie środków trwałych,Pokrycie aktywów trwałych kapitałami stałymi,Trwałość struktury finansowania,Zastosowanie kapitału obcego,Wskaźnik ogólnej sytuacji finansowej,Zadłużenie netto,Zadłużenie netto / EBITDA,Zadłużenie finansowe netto,Zadłużenie finansowe netto / EBITDA
UNFOLD,UNF,1.81,0.77,-0.51,,0.19,7.29,-0.51,,0.25,5.46,1.18,6.18,-2.34,-2.33,-28.33,-28.11,-264.97,-268.74,-262.37,-265.26,,-27.71,0.01,0.01,0.0,0.23,1.17,1.0,0.05,0.06,-7698000,0.5,-6418000.0,0.42
UNIBEP,UNIBEP,4.89,1.89,0.03,323.41,73.59,0.13,2.11,4.38,-4.37,,17.46,0.24,5.82,8.27,0.58,0.06,2.87,0.04,3.06,1.45,7.38,4.11,0.83,8.69,2.45,0.35,1.27,0.33,1.11,0.41,1271326000,12.08,288261000.0,2.74
UNICREDIT,UNICREDIT,177.2,1.23,27.28,7.96,0.0,,36.18,6.0,,,,,,,15.39,1.27,,,,,,1.69,0.92,11.11,,,,,,,1872374744100,30.89,,
UNIMOT,UNIMOT-GAZ,140.67,1.13,13.73,11.57,1777.02,0.09,24.11,6.59,-44.99,,252.0,0.14,6.11,10.45,9.76,3.33,1.36,0.77,1.33,1.04,5.95,5.84,0.66,1.93,0.55,1.8,1.17,0.53,1.2,0.91,2002099000,5.92,764011000.0,2.26
URTESTE,URT,16.7,5.11,-2.16,,0.0,,-2.48,,6.61,12.92,85.54,,-36.87,-34.53,-12.92,-10.23,,,,,,-11.75,0.21,0.26,0.21,0.51,2.01,0.96,0.4,0.66,-1088000,0.33,203000.0,-0.06
VIGOPHOTN,VGO,193.76,2.56,-5.65,,96.63,5.13,-4.84,,-2.57,,505.21,5.23,55.25,-104.29,-2.91,-2.26,-5.01,-5.84,-13.84,-5.37,49.97,-1.94,0.22,0.29,0.16,4.02,1.14,0.9,1.05,1.03,38035000,4.75,8061000.0,1.01
VINDEXUS,VINDEXUS,24.36,0.4,2.09,4.69,10.44,0.94,3.75,2.61,20.93,0.47,11.19,1.07,2.94,2.98,8.58,5.63,35.96,20.02,37.98,26.0,48.21,10.11,0.34,0.52,0.39,0.11,9.77,0.91,0.38,2.65,50207000,1.13,16295000.0,0.37
VIVID,VIVID-GAMES,0.17,4.2,-0.01,,0.32,2.19,-0.01,,-0.07,,0.71,2.22,17.61,-135.27,-5.4,-3.31,-1.64,-2.82,-5.2,-2.67,,-1.93,0.39,0.63,0.19,0.05,0.83,0.73,3.01,2.12,5568000,2.5,463000.0,0.21
VOTUM,VOTUM,30.45,1.07,11.36,2.86,37.76,0.86,14.21,2.28,8.2,3.96,25.98,0.69,1.77,1.83,37.3,21.3,37.62,30.07,40.44,38.09,,26.64,0.42,0.74,0.37,0.28,1.83,0.78,0.73,0.98,148265000,0.84,-77625000.0,-0.44
VOXEL,VOXEL,36.64,3.88,9.66,14.69,53.03,2.68,11.97,11.86,-4.06,,153.42,2.89,9.2,12.82,26.37,16.2,22.57,18.22,23.57,22.54,28.84,20.07,0.38,0.61,0.31,2.69,1.16,0.81,1.22,1.08,200169000,1.14,119926000.0,0.69
VERCOM,VRC,19.06,6.14,3.72,31.48,22.61,5.18,4.45,26.29,-1.12,,116.05,5.13,22.4,26.08,19.51,13.7,19.68,16.44,19.83,19.08,45.56,16.4,0.29,0.42,0.2,0.27,1.13,0.84,1.16,1.09,64896000,0.56,-21061000.0,-0.18
VRG,VRG,4.56,0.8,0.39,9.37,5.93,0.62,0.55,6.71,0.67,5.45,5.52,0.93,4.92,10.12,8.56,5.4,9.19,6.59,8.9,8.4,55.57,7.53,0.37,0.59,0.19,1.89,1.4,0.75,0.8,0.94,614539000,2.34,436102000.0,1.66
WARIMPEX,WARIMPEX,5.57,0.48,-6.75,,3.38,0.8,-0.95,,-11.94,,13.42,3.97,-15.86,-14.13,-121.24,-37.69,-28.12,-199.92,-29.23,-42.12,-12.95,-5.3,0.69,2.21,1.87,0.11,0.91,0.89,31.58,10.04,657734183,-14.39,579101967.0,-12.67
WASKO,WASKO,2.72,0.7,0.08,25.06,5.98,0.32,0.1,19.62,0.85,2.25,0.95,0.16,3.63,9.81,2.8,1.57,1.62,1.27,2.3,2.11,14.37,2.0,0.43,0.77,0.2,2.25,1.7,0.67,0.71,1.01,66794000,2.79,-86875000.0,-3.63
WAWEL,WAWEL,496.28,1.28,48.15,13.17,470.31,1.35,49.05,12.92,267.43,2.37,473.58,1.01,7.01,9.65,9.7,8.24,10.43,10.24,10.33,12.82,28.83,8.4,0.15,0.18,0.03,15.13,2.23,0.87,0.25,0.54,-145390000,-1.43,-240584000.0,-2.37
WIELTON,WIELTON,7.04,0.9,-2.95,,33.83,0.19,-2.21,,-9.1,,17.86,0.53,-24.28,-8.07,-41.89,-9.18,-6.54,-8.72,-6.76,-8.69,7.95,-6.88,0.78,3.56,0.56,2.75,0.68,0.34,1.57,0.68,1432963000,-32.27,693480000.0,-15.62
WIRTUALNA,WIRTUALNA-POLSKA,32.85,2.49,5.01,16.3,53.42,1.53,9.12,8.96,-20.22,,96.58,1.81,6.46,10.59,15.25,6.04,17.08,9.38,18.25,13.6,,10.99,0.59,1.48,0.85,0.12,1.11,0.73,1.71,1.03,1040207000,2.34,443032000.0,1.0
WINVEST,WIS,-0.28,,-0.08,,0.0,119.52,-0.08,,-0.28,,0.3,119.03,-3.93,-3.93,27.83,-597.88,-3029.09,-3076.36,-538.18,-3076.36,,-588.69,22.48,-1.05,,,,,25.15,-5095.47,6335000,-3.8,-27000.0,0.02
WOODPCKR,WPR,2.35,1.77,-0.07,,4.21,0.99,-0.05,,-0.74,,4.24,1.01,5.94,-79.91,-2.83,-1.99,-1.26,-1.58,-0.59,-1.72,,-1.59,0.3,0.42,0.06,1.73,0.81,0.75,3.86,2.94,4225000,1.18,376000.0,0.11
WITTCHEN,WTN,10.32,2.32,1.82,13.17,24.68,0.97,2.65,9.07,1.57,15.29,30.1,1.22,6.9,11.38,17.65,9.43,10.72,7.38,11.24,10.11,61.37,13.69,0.47,0.87,0.25,2.68,1.48,0.67,0.85,1.0,157623000,1.96,112454000.0,1.4
XPLUS,XPLUS,0.32,8.6,0.11,25.44,0.88,3.13,0.13,21.45,0.18,15.46,2.44,2.78,14.12,19.07,33.82,17.75,14.57,12.29,13.49,13.79,,21.05,0.48,0.9,0.08,0.52,2.44,0.57,0.62,1.4,-2154000,-0.18,-21229000.0,-1.77
XTB,XTB,18.66,3.65,6.36,10.71,16.13,4.22,7.66,8.9,18.02,3.78,53.35,3.31,6.81,6.97,34.1,10.02,47.47,39.46,48.19,48.22,,12.06,0.71,2.4,,,,,0.71,20.59,-2092469000,-2.27,-1738733000.0,-1.89
